Years,Player_Name
2018-19,Nikola Jokic
2018-19,Joel Embiid
2018-19,Rudy Gobert
2017-18,Anthony Davis
2017-18,Joel Embiid
2017-18,Karl-Anthony Towns
2016-17,Anthony Davis
2016-17,Rudy Gobert
2016-17,DeAndre Jordan
2015-16,DeAndre Jordan
2015-16,DeMarcus Cousins
2015-16,Andre Drummond
2014-15,Marc Gasol
2014-15,DeMarcus Cousins
2014-15,DeAndre Jordan
2013-14,Joakim Noah
2013-14,Dwight Howard
2013-14,Al Jefferson
2012-13,Tim Duncan
2012-13,Marc Gasol
2012-13,Dwight Howard
2011-12,Dwight Howard
2011-12,Andrew Bynum
2011-12,Tyson Chandler
2010-11,Dwight Howard
2010-11,Amar'e Stoudemire
2010-11,Al Horford
2009-10,Dwight Howard
2009-10,Amar'e Stoudemire
2009-10,Andrew Bogut
2008-09,Dwight Howard
2008-09,Yao Ming
2008-09,Shaquille O'Neal
2007-08,Dwight Howard
2007-08,Amar'e Stoudemire
2007-08,Yao Ming
2006-07,Amar'e Stoudemire
2006-07,Yao Ming
2006-07,Dwight Howard
2005-06,Shaquille O'Neal
2005-06,Ben Wallace
2005-06,Yao Ming
2004-05,Shaquille O'Neal
2004-05,Amar'e Stoudemire
2004-05,Ben Wallace
2003-04,Shaquille O'Neal
2003-04,Ben Wallace
2003-04,Yao Ming
2002-03,Shaquille O'Neal
2002-03,Ben Wallace
2002-03,Jermaine O'Neal
2001-02,Shaquille O'Neal
2001-02,Dirk Nowitzki
2001-02,Dikembe Mutombo
2000-01,Shaquille O'Neal
2000-01,Dikembe Mutombo
2000-01,David Robinson
1999-00,Shaquille O'Neal
1999-00,Alonzo Mourning
1999-00,David Robinson
1998-99,Alonzo Mourning
1998-99,Shaquille O'Neal
1998-99,Hakeem Olajuwon
1997-98,Shaquille O'Neal
1997-98,David Robinson
1997-98,Dikembe Mutombo
1996-97,Hakeem Olajuwon
1996-97,Patrick Ewing
1996-97,Shaquille O'Neal
1995-96,David Robinson
1995-96,Hakeem Olajuwon
1995-96,Shaquille O'Neal
1994-95,David Robinson
1994-95,Shaquille O'Neal
1994-95,Hakeem Olajuwon
1993-94,Hakeem Olajuwon
1993-94,David Robinson
1993-94,Shaquille O'Neal
1992-93,Hakeem Olajuwon
1992-93,Patrick Ewing
1992-93,David Robinson
1991-92,David Robinson
1991-92,Patrick Ewing
1991-92,Brad Daugherty
1990-91,David Robinson
1990-91,Patrick Ewing
1990-91,Hakeem Olajuwon
1989-90,Patrick Ewing
1989-90,Hakeem Olajuwon
1989-90,David Robinson
1987-88,Hakeem Olajuwon
1987-88,Patrick Ewing
1986-87,Hakeem Olajuwon
1986-87,Moses Malone
1985-86,Kareem Abdul-Jabbar
1985-86,Hakeem Olajuwon
1984-85,Moses Malone
1984-85,Kareem Abdul-Jabbar
1983-84,Kareem Abdul-Jabbar
1983-84,Moses Malone
1982-83,Moses Malone
1982-83,Kareem Abdul-Jabbar
1981-82,Moses Malone
1981-82,Robert Parish
1980-81,Kareem Abdul-Jabbar
1980-81,Moses Malone
1979-80,Kareem Abdul-Jabbar
1979-80,Moses Malone
2018-19,Giannis Antetokounmpo
2018-19,Kevin Durant
2018-19,LeBron James
2017-18,LeBron James
2017-18,Giannis Antetokounmpo
2017-18,Jimmy Butler
2016-17,LeBron James
2016-17,Giannis Antetokounmpo
2016-17,Draymond Green
2015-16,LeBron James
2015-16,Kevin Durant
2015-16,Paul George
2014-15,LeBron James
2014-15,Pau Gasol
2014-15,Blake Griffin
2013-14,Kevin Durant
2013-14,Blake Griffin
2013-14,Paul George
2012-13,Kevin Durant
2012-13,Carmelo Anthony
2012-13,Paul George
2011-12,Kevin Durant
2011-12,Blake Griffin
2011-12,Carmelo Anthony
2010-11,Kevin Durant
2010-11,Pau Gasol
2010-11,LaMarcus Aldridge
2009-10,Kevin Durant
2009-10,Carmelo Anthony
2009-10,Tim Duncan
2008-09,LeBron James
2008-09,Tim Duncan
2008-09,Carmelo Anthony
2007-08,Kevin Garnett
2007-08,Tim Duncan
2007-08,Carlos Boozer
2006-07,Tim Duncan
2006-07,Chris Bosh
2006-07,Carmelo Anthony
2005-06,LeBron James
2005-06,Elton Brand
2005-06,Carmelo Anthony
2004-05,Tim Duncan
2004-05,Kevin Garnett
2004-05,Shawn Marion
2003-04,Tim Duncan
2003-04,Jermaine O'Neal
2003-04,Metta World Peace
2002-03,Tim Duncan
2002-03,Dirk Nowitzki
2002-03,Jamal Mashburn
2001-02,Tim Duncan
2001-02,Kevin Garnett
2001-02,Jermaine O'Neal
2000-01,Tim Duncan
2000-01,Vince Carter
2000-01,Karl Malone
1999-00,Tim Duncan
1999-00,Grant Hill
1999-00,Vince Carter
1998-99,Tim Duncan
1998-99,Grant Hill
1998-99,Kevin Garnett
1997-98,Tim Duncan
1997-98,Vin Baker
1997-98,Scottie Pippen
1996-97,Grant Hill
1996-97,Scottie Pippen
1996-97,Vin Baker
1995-96,Karl Malone
1995-96,Grant Hill
1995-96,Charles Barkley
1994-95,Karl Malone
1994-95,Charles Barkley
1994-95,Dennis Rodman
1993-94,Karl Malone
1993-94,Charles Barkley
1993-94,Derrick Coleman
1992-93,Charles Barkley
1992-93,Larry Johnson
1992-93,Derrick Coleman
1991-92,Karl Malone
1991-92,Charles Barkley
1991-92,Dennis Rodman
1990-91,Charles Barkley
1990-91,Chris Mullin
1990-91,Bernard King
1989-90,Charles Barkley
1989-90,Larry Bird
1989-90,Chris Mullin
1987-88,Charles Barkley
1987-88,Karl Malone
1986-87,Larry Bird
1986-87,Charles Barkley
1985-86,Larry Bird
1985-86,Charles Barkley
1984-85,Larry Bird
1984-85,Terry Cummings
1983-84,Larry Bird
1983-84,Adrian Dantley
1982-83,Larry Bird
1982-83,Alex English
1981-82,Larry Bird
1981-82,Alex English
1980-81,Larry Bird
1980-81,Adrian Dantley
1979-80,Larry Bird
1979-80,Marques Johnson
2018-19,Paul George
2018-19,Kawhi Leonard
2018-19,Blake Griffin
2017-18,Kevin Durant
2017-18,LaMarcus Aldridge
2017-18,Paul George
2016-17,Kawhi Leonard
2016-17,Kevin Durant
2016-17,Jimmy Butler
2015-16,Kawhi Leonard
2015-16,Draymond Green
2015-16,LaMarcus Aldridge
2014-15,Anthony Davis
2014-15,LaMarcus Aldridge
2014-15,Tim Duncan
2013-14,LeBron James
2013-14,Kevin Love
